Rank,SongName,Singer,Likepoint
1,초록빛,폴킴,40146
2,넘쳐흘러,엠씨더맥스,80734
3,벌써 12시,청하,75630
4,180도,벤,119572
5,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",50084
6,신용재,하은 (라코스테남),82092
7,SOLO,제니 (JENNIE),160048
8,너를 만나,폴킴,160868
9,MILLIONS,WINNER,101861
10,Love Shot,EXO,121533
11,아낙네,MINO (송민호),141863
12,해야 (Sunrise),여자친구 (GFRIEND),29632
13,너도 그냥 날 놓아주면 돼,윤건,42374
14,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,235352
15,Tempo,EXO,167942
16,YES or YES,TWICE (트와이스),116127
17,내 생에 아름다운,케이윌,91307
18,IDOL,방탄소년단,214659
19,%%(응응),Apink (에이핑크),25818
20,아름답고도 아프구나,비투비,121472
21,흔한 이별,허각,37920
22,가을 타나 봐,바이브,112955
23,첫눈에,헤이즈 (Heize),50765
24,삐삐,아이유,204569
25,이별하러 가는 길,임한별,71617
26,고백,양다일,98603
27,봄바람,Wanna One (워너원),125658
28,No Question,"매드클라운, 스텔라장 (Stella Jang)",12519
29,Way Back Home,숀 (SHAUN),250190
30,사계 (하루살이),엠씨더맥스,21956
31,"thank u, next",Ariana Grande,83503
32,트라우마 (Trauma),EXO,67076
33,FAKE LOVE,방탄소년단,269252
34,We all lie,하진,43275
35,열애중,벤,148981
36,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,24302
37,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136383
38,Wait,EXO,67879
39,Gravity,EXO,95925
40,봄날,방탄소년단,378324
41,닿은 순간 (Ooh La La La),EXO,93286
42,24//7,EXO,91938
43,I`m Fine,방탄소년단,157925
44,Sign,EXO,90114
45,여기 있을게 (Smile On My Face),EXO,87119
46,너 없인 안 된다,비투비,150665
47,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120909
48,Damage,EXO,83656
49,그때가 좋았어,케이시 (Kassy),18517
50,그리워하다,비투비,219266
51,후폭풍 (Bad Dream),EXO,83555
52,가끔 (With You),EXO,84855
53,오아시스 (Oasis),EXO,86653
54,DNA,방탄소년단,335238
55,알았다면,장덕철,21641
56,습관 (Bad Habits),숀 (SHAUN),18786
57,지나오다,닐로 (Nilo),192534
58,Euphoria,방탄소년단,151589
59,Answer : Love Myself,방탄소년단,131667
60,그 남자를 떠나,god,15010
61,Universe,EXO,185882
62,너는 어땠을까,노을,38418
63,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79836
64,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203097
65,미안해,양다일,142763
66,비,폴킴,184081
67,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,192035
68,Bohemian Rhapsody (2011 Remaster),Queen,89291
69,이 마음,펀치 (Punch),7219
70,헤어지는 중,펀치 (Punch),98596
71,행복,오반,44816
72,에너제틱 (Energetic),Wanna One (워너원),286755
73,사이렌 (Siren),선미,110415
74,Epiphany,방탄소년단,120200
75,Dance The Night Away,TWICE (트와이스),138946
76,우리 그만하자,로이킴,122038
77,밤편지,아이유,304473
78,어쩌나,세븐틴,71576
79,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9709
80,Beautiful,Wanna One (워너원),235186
81,사랑을 했다 (LOVE SCENARIO),iKON,279332
82,Anpanman,방탄소년단,149406
83,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",90148
84,가을 안부,먼데이 키즈 (Monday Kiz),126576
85,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",107610
86,BOOMERANG (부메랑),Wanna One (워너원),144213
87,시간이 들겠지 (Feat. Colde),로꼬,96944
88,꽃 (Prod. AVIN),HAON (김하온),10297
89,이별길 (GOODBYE ROAD),iKON,84642
90,Trivia 轉 : Seesaw,방탄소년단,114653
91,A-TEEN,세븐틴,82236
92,켜줘 (Light),Wanna One (워너원),133455
93,Wind flower,마마무(Mamamoo),49626
94,아주 NICE,세븐틴,87669
95,그때 헤어지면 돼,로이킴,191962
96,불꽃놀이 (Flowerbomb),Wanna One (워너원),72598
97,동화 (feat. 아이유),김동률,55242
98,눈,폴킴,7417
99,술래,Wanna One (워너원),69743
100,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,75219
